,name,related_artefacts,visibility
0,Grand Causeway,"['https://digital.library.leeds.ac.uk/15933/', 'https://digital.library.leeds.ac.uk/15941/', 'https://digital.library.leeds.ac.uk/15944/', 'https://digital.library.leeds.ac.uk/15930/', 'https://digital.library.leeds.ac.uk/15925/', 'https://digital.library.leeds.ac.uk/15940/', 'https://digital.library.leeds.ac.uk/15931/', 'https://digital.library.leeds.ac.uk/15929/']",False
1,Portnaboe,['https://digital.library.leeds.ac.uk/15962/'],False
2,Amphitheatre,"['https://digital.library.leeds.ac.uk/15936/', 'https://digital.library.leeds.ac.uk/15959/']",False
3,Hamilton's Seat,"['https://digital.library.leeds.ac.uk/15950/', 'https://digital.library.leeds.ac.uk/15951/', 'https://digital.library.leeds.ac.uk/15952/']",False
4,Wishing Chair,"['https://digital.library.leeds.ac.uk/15926/', 'https://digital.library.leeds.ac.uk/20356/']",False
5,The Stookans,"['https://digital.library.leeds.ac.uk/15946/', 'https://digital.library.leeds.ac.uk/15963/']",False
6,Giant's Gate,['https://digital.library.leeds.ac.uk/15935/'],False
7,The Organ,['https://digital.library.leeds.ac.uk/15939/'],False
8,Portnaboe Trap Dyke,"['https://digital.library.leeds.ac.uk/15948/', 'https://digital.library.leeds.ac.uk/15949/']",False
9,Giant's Loom,"['https://digital.library.leeds.ac.uk/15932/', 'https://digital.library.leeds.ac.uk/15934/']",False
10,Onion weathering,['https://digital.library.leeds.ac.uk/15953/'],False
11,Giant's Well,['https://digital.library.leeds.ac.uk/15947/'],False
12,Chimney Stacks,"['https://digital.library.leeds.ac.uk/15956/', 'https://digital.library.leeds.ac.uk/15937/', 'https://digital.library.leeds.ac.uk/15961/', 'https://digital.library.leeds.ac.uk/15958/', 'https://digital.library.leeds.ac.uk/15957/', 'https://digital.library.leeds.ac.uk/15945/', 'https://digital.library.leeds.ac.uk/15954/']",False
13,View to West,https://digital.library.leeds.ac.uk/15955/,False
14,Sea Gull Skerry,['https://digital.library.leeds.ac.uk/15938/'],
